House number,listing_id,city,address,property_type,price,total_square_ft,above_square_ft,bed,bath,list_date,hoa
493,6425300,Denver,2757 Grove Street,Residential,"$1,250,000","3,361","2,372",4,5,05/27/2022,No
494,6407456,Denver,1366 Garfield Street Unit# 105,Residential,"$300,000",900,900,2,1,05/27/2022,Yes
495,5888867,Denver,78 Jackson Street Unit# H,Residential,"$985,000","2,490","2,490",2,3,05/27/2022,Yes
496,1734753,Colorado Springs,5248 Mount Cutler Court,Residential,"$984,000","4,682","2,851",6,4,05/27/2022,Yes
497,5524616,Littleton,9835 W Hinsdale Place,Residential,"$614,990","2,212","1,754",3,4,05/27/2022,Yes
498,8164225,Aurora,23454 E Heritage Parkway,Residential,"$967,700","4,624","2,328",3,3,05/27/2022,Yes
499,2135262,Aurora,1988 S Ouray Street,Residential,"$389,900",969,969,3,1,05/27/2022,No
500,3442133,Centennial,6072 S Glencoe Way,Residential,"$850,000","3,021","2,215",3,3,05/27/2022,Yes
501,9984714,Highlands Ranch,10174 Fawnbrook Lane,Residential,"$840,000","3,236","2,288",4,4,05/27/2022,Yes
502,4299508,Westminster,8240 Turnpike Drive,Residential,"$550,000","2,175","2,175",4,2,05/27/2022,No
503,5871461,Longmont,1026 Red Oak Drive,Residential,"$560,000","1,492","1,093",3,3,05/27/2022,Yes
504,9121545,Greeley,2406 14th Avenue,Residential,"$355,000","1,368",948,3,2,05/27/2022,No
505,3550827,Arvada,4932 W 65th Place,Residential,"$689,900","2,296","1,148",5,4,05/27/2022,No
506,9955098,Highlands Ranch,2133 Primo Road Unit# 205,Residential,"$500,000","1,240","1,240",2,2,05/27/2022,Yes
507,1695229,Colorado Springs,6205 Pulpit Rock Drive,Residential,"$565,000","2,112","1,412",4,3,05/27/2022,No
508,5293901,Lakewood,1293 S Johnson Way,Residential,"$650,900","2,244","1,668",5,3,05/27/2022,No
509,7483001,Westminster,11876 W 107th Avenue,Residential,"$600,000","2,616","2,175",3,3,05/27/2022,Yes
510,1585075,Brighton,2054 Donna Street,Residential,"$744,900","3,688","1,888",3,3,05/27/2022,Yes
511,1650996,Denver,1497 S Garfield Street,Residential,"$875,000","1,820","1,820",3,2,05/27/2022,No
512,7107001,Parker,8660 Bluegrass Circle,Residential,"$475,000","1,408","1,408",3,2,05/27/2022,No
513,8276309,Brighton,16300 Great Rock Way,Residential,"$800,000","3,830","2,083",4,4,05/27/2022,Yes
514,7509810,Denver,3001 S Birch Street,Residential,"$765,000","2,180","2,180",4,3,05/27/2022,No
515,5340987,Littleton,5287 S Mabre Court,Residential,"$739,000","2,462","1,368",3,3,05/27/2022,No
516,6277075,Littleton,5165 S Taft Way,Residential,"$740,000","3,226","1,923",3,2,05/27/2022,Yes
517,6464729,Denver,1238 Leyden Street,Residential,"$445,000","1,392",928,3,2,05/27/2022,Yes
518,7558044,Commerce City,6000 E 61st Avenue,Residential,"$330,000",840,840,3,1,05/27/2022,No
519,7485118,Loveland,3207 Sheridan Avenue,Residential,"$430,000","2,128","1,064",3,2,05/27/2022,No
520,7078021,Lone Tree,10156 Belvedere Loop,Residential,"$675,000","1,559","1,559",3,3,05/27/2022,Yes
521,3277680,Centennial,2582 E Easter Avenue,Residential,"$475,000","1,343","1,343",3,2,05/27/2022,Yes
522,7877821,Denver,2060 S Williams Street,Residential,"$735,000","1,632",816,3,2,05/27/2022,No
523,9396303,Brighton,759 Lilac Court,Residential,"$770,000","3,786","2,162",5,4,05/27/2022,Yes
524,9850235,Centennial,2493 E Fremont Court,Residential,"$550,000","2,376","1,320",3,3,05/27/2022,Yes
525,7863605,Littleton,8802 W Fair Drive,Residential,"$525,000","2,246","1,658",3,3,05/27/2022,No
526,4625760,Denver,1317 W Gill Place,Residential,"$524,900","1,214","1,214",4,2,05/27/2022,No
527,2248414,Lone Tree,10659 Montecito Drive,Residential,"$1,075,000","4,260","3,043",3,3,05/27/2022,Yes
528,8919095,Colorado Springs,1703 Harrow Road,Residential,"$350,000",931,931,3,2,05/27/2022,No
529,3964432,Colorado Springs,6926 Red Cardinal Loop,Residential,"$489,000","2,135","1,491",3,3,05/27/2022,Yes
530,4266452,Lafayette,210 E Cleveland Street,Residential,"$1,179,000","2,940","1,470",5,4,05/27/2022,No
531,2707236,Littleton,9604 W Long Drive,Residential,"$675,000","3,739","1,965",3,2,05/27/2022,Yes
532,3162928,Arvada,6209 Ingalls Street,Residential,"$484,999","1,976",988,3,2,05/27/2022,No
533,5492202,Aurora,907 S Yampa Street Unit# 106,Residential,"$250,000","1,020","1,020",2,2,05/27/2022,Yes
534,7513948,Centennial,6707 S Jackson Court,Residential,"$850,000","3,328","2,488",4,4,05/27/2022,Yes
535,8028976,Denver,2829 Ash Street,Residential,"$889,000","2,352","1,283",4,2,05/27/2022,No
536,9846453,Highlands Ranch,9460 Carlyle Park Place,Residential,"$525,000","1,594","1,594",3,3,05/27/2022,Yes
537,9208425,Denver,1015 S Grove Street,Residential,"$559,500","1,826",913,4,2,05/27/2022,No
538,9123697,Dacono,500 Sundance Parkway,Residential,"$499,900","1,800",900,3,2,05/27/2022,No
539,9206818,Lakewood,11169 W Tennessee Court,Residential,"$988,000","3,103","2,374",5,4,05/27/2022,Yes
540,8200709,Lakewood,13561 W Alaska Place,Residential,"$780,000","2,442","2,442",4,3,05/27/2022,No
541,IR966851,Allenspark,763 Cabin Creek Road,Residential,"$599,000","1,264","1,264",2,2,05/27/2022,No
542,IR966849,Denver,2276 S Dayton Street,Residential,"$695,000","2,714","2,320",4,3,05/27/2022,No
543,IR966848,Sterling,114 Club Road,Residential,"$443,000","2,600","1,300",4,2,05/27/2022,Yes
544,IR966846,Fort Collins,5009 Sandstone Drive,Residential,"$1,100,000","5,129","3,515",4,4,05/27/2022,Yes
545,IR966845,Estes Park,1260 Fall River Court,Residential,"$2,345,678","4,760","3,860",4,3,05/27/2022,Yes
546,IR966844,Boulder,540 Mohawk Drive Unit# 23,Residential,"$539,900",945,945,1,1,05/27/2022,Yes
547,IR966843,Greeley,14782 County Road 64 Road,Residential,"$435,000","1,292","1,292",3,2,05/27/2022,No
548,IR966837,Brighton,2054 Donna Street,Residential,"$744,900","3,688",400,3,3,05/27/2022,Yes
549,IR966835,Carr,56998 County Road 27,Residential,"$720,000","1,980","1,980",3,2,05/27/2022,No
550,IR966833,Akron,581 Delta Avenue,Residential,"$230,000","2,120","1,620",4,2,05/27/2022,No
551,IR966831,Ault,628 1st Avenue,Residential,"$420,000","2,102","1,102",4,3,05/27/2022,No
552,IR966830,Westminster,8473 Rutgers Street,Residential,"$521,000","1,998",999,5,2,05/27/2022,No
553,IR966828,Timnath,5057 John Muir Drive,Residential,"$661,063","2,764","1,921",3,3,05/27/2022,No
554,IR966827,Glen Haven,1298 North Fork Road,Residential,"$550,000",706,608,1,1,05/27/2022,Yes
555,IR966825,Fort Collins,3125 Laredo Lane,Residential,"$435,000",915,915,3,1,05/27/2022,No
556,IR966823,Windsor,1981 Blue Moon Drive,Residential,"$594,959","2,966","1,542",2,2,05/27/2022,Yes
557,IR966821,Windsor,1993 Blue Moon Drive,Residential,"$674,028","3,511","1,823",3,3,05/27/2022,Yes
558,IR966819,Wellington,8114 3rd Street,Residential,"$435,000","1,595","1,204",2,2,05/27/2022,No
559,IR966818,Lyons,369 Cree Court,Residential,"$1,050,000","2,742","2,205",2,2,05/27/2022,No
560,IR966816,Fort Collins,1121 Skyline Drive,Residential,"$475,000","2,085","2,085",4,2,05/27/2022,No
561,IR966812,Johnstown,1906 Sherwood Lane,Residential,"$550,000","2,569","1,289",4,3,05/27/2022,Yes
562,IR966811,Ault, TBD Weld County Road 112,Land,"$145,000",,,,,05/27/2022,No
563,IR966809,Greeley,1335 84th Ave Ct,Residential,"$535,000","2,806","2,236",4,3,05/27/2022,Yes
564,IR966808,Eaton,106 Cheyenne Avenue,Residential,"$440,000","1,902","1,902",3,1,05/27/2022,No
565,IR966807,Fort Collins,304 E Lincoln Avenue,Residential,"$535,000","1,342","1,342",2,2,05/27/2022,No
566,IR966806,Colorado Springs,5557 Prairie Schooner Drive,Residential,"$560,000","2,447","1,287",4,4,05/27/2022,Yes
567,IR966805,Colorado Springs,1335 Raindrop Drive,Residential,"$390,000","2,117","1,087",5,3,05/27/2022,No
568,IR966803,Fort Morgan,16879 County Road 14,Residential,"$650,000","1,500","1,500",2,2,05/27/2022,No
569,IR966802,Windsor,"1897 Seadrift Drive Unit# B, Bldg 6",Residential,"$489,000","1,852","1,852",3,3,05/27/2022,Yes
570,IR966799,Fort Collins,2206 Bronson Street,Residential,"$625,000","2,567","1,484",4,4,05/27/2022,Yes
571,IR966798,Bellvue,2721 Davis Ranch Road,Land,"$350,000",,,,,05/27/2022,Yes
572,IR966797,Loveland,447 Slippery Elm Court,Residential,"$415,000","1,008","1,008",3,1,05/27/2022,No
573,IR966796,Fort Morgan,308 Dahlia Street,Residential,"$359,000","2,228","1,136",4,2,05/27/2022,No
574,IR966795,Denver,1800 Lawrence Street Unit# 103,Residential,"$495,000",906,906,1,1,05/27/2022,Yes
575,IR966794,Greeley,5775 W 29th Street Unit# 905,Residential,"$324,900","1,276","1,276",2,2,05/27/2022,Yes
576,IR966792,Fort Collins,1001 Sailors Reef,Residential,"$499,900","1,765","1,765",2,2,05/27/2022,Yes
577,IR966791,Sterling,16755 County Road 29,Residential,"$545,000","3,528","1,512",4,3,05/27/2022,No
578,IR966789,Fort Collins,308 E Magnolia Street,Residential,"$900,000","2,751","1,835",5,3,05/27/2022,No
579,IR966786,Thornton,14650 Hudson Street,Residential,"$775,000","4,507","3,162",5,5,05/27/2022,Yes
580,IR966785,Red Feather Lakes,37 Yacqui Court,Land,"$150,000",,,,,05/27/2022,Yes
581,IR966784,Platteville,12125 County Road 32 1/2,Residential,"$650,000","2,600","2,028",4,3,05/27/2022,No
582,IR966783,Fort Morgan,311 Lake Street,Residential,"$149,000","1,318","1,248",3,2,05/27/2022,No
583,IR966782,Greeley,2314 27th Ave Ct,Residential,"$430,000","2,583","1,911",3,3,05/27/2022,No
584,IR966780,Red Feather Lakes,1137 Okmulgee Circle,Residential,"$325,000",960,960,2,1,05/27/2022,Yes
585,IR966779,Kersey,112 Park View Boulevard,Residential,"$445,000","2,790","1,860",3,3,05/27/2022,Yes
586,IR966778,Nederland,277 N sky view Drive,Residential,"$649,900","1,552","1,308",2,2,05/27/2022,No
587,IR966776,Thornton,14620 Hudson Street,Residential,"$750,000","3,709","2,576",3,4,05/27/2022,Yes
588,IR966775,Boulder,7454 Singing Hills Drive,Residential,"$429,000",965,965,2,2,05/27/2022,Yes
589,IR966770,Berthoud,206 Cowbell Drive,Residential,"$692,167","3,714","2,187",3,4,05/27/2022,Yes
590,IR966769,Windsor,1774 Beachside Drive,Residential,"$797,487","2,130","2,130",3,2,05/27/2022,Yes
591,IR966766,Longmont,926 Yeager Place,Residential,"$440,000",984,984,3,1,05/27/2022,No
592,IR966764,Fort Collins,412 Wood Street,Residential,"$695,000",962,762,2,1,05/27/2022,No
593,IR966762,Longmont,2284 Picadilly Circle,Residential,"$2,100,000","7,625","4,369",6,7,05/27/2022,Yes
594,IR966759,Greeley,2303 Fairway Lane,Residential,"$464,000","2,878","2,149",4,3,05/27/2022,No
595,IR966758,Evans,4202 Larkspur Road,Residential,"$399,000","2,184","1,092",3,2,05/27/2022,Yes
596,IR966757,Loveland,4163 Georgetown Drive,Residential,"$476,000","2,683","1,734",2,3,05/27/2022,Yes
597,IR966756,Fort Collins,5402 Northern Lights Drive,Residential,"$765,000","4,113","2,797",4,4,05/27/2022,Yes
598,IR966755,Eaton,407 Magnolia Court,Residential,"$425,000","3,105","2,083",5,4,05/27/2022,No
599,IR966754,Windsor,1771 Barefoot Drive,Residential,"$964,698","3,134","3,134",4,3,05/27/2022,Yes
600,IR966753,Windsor,1594 Winter Glow Drive,Residential,"$935,902","4,117","2,752",4,3,05/27/2022,Yes
601,IR966751,Fort Collins,3926 Celtic Lane,Residential,"$499,000","1,686","1,686",3,3,05/27/2022,Yes
602,IR966749,Black Hawk,161 Meadow Way,Residential,"$525,000","1,032","1,032",2,2,05/27/2022,No
603,IR966748,Windsor,1049 Ridge West Drive,Residential,"$1,000,000","4,644","2,322",4,5,05/27/2022,Yes
604,IR966746,Wiggins,503 Pronghorn Court,Residential,"$355,000","1,349","1,349",3,2,05/27/2022,Yes
605,IR966744,Timnath,5622 Bristow Road N,Residential,"$699,500","3,434","1,652",5,4,05/27/2022,No
606,IR966742,Loveland,967 Claremont Place,Residential,"$485,000","1,954","1,538",3,3,05/27/2022,Yes
607,IR966741,Mead,2539 Basil Drive,Residential,"$515,000","2,074","1,641",3,3,05/27/2022,Yes
608,IR966740,Mead,2769 Stage Coach Drive,Residential,"$575,000","2,253","1,505",4,4,05/27/2022,Yes
609,IR966738,Fort Collins,2404 Rollingwood Drive,Residential,"$2,020,000","4,452","3,270",4,4,05/27/2022,Yes
610,IR966737,Greeley,1523 6th Avenue,Residential,"$479,500","1,048",712,2,1,05/27/2022,No
611,IR966736,Longmont,2061 Spencer Street,Residential,"$497,890","1,280","1,280",4,2,05/26/2022,No
612,IR966720,Milliken,838 S Depot Drive,Residential,"$425,000","2,462","1,231",3,2,05/26/2022,Yes
613,IR966717,Thornton,9290 Harris Street,Residential,"$475,000","1,426","1,426",3,2,05/26/2022,No
614,IR966680,Westminster,10564 N Osceola Drive,Residential,"$880,000","4,046","2,531",2,2,05/26/2022,Yes
615,IR966646,Greeley,820 E 21st Street,Residential,"$360,000","1,050","1,050",3,2,05/26/2022,No
616,IR966606,Longmont,403 Collyer Street,Residential,"$750,000","1,756","1,756",3,3,05/26/2022,No
617,IR966588,Boulder,"2130 Mapleton Avenue, Bldg 2",Residential,"$925,000",900,900,2,1,05/25/2022,Yes
618,IR966586,Berthoud,121 Mountain Avenue,Residential,"$460,000","1,974","1,496",3,1,05/25/2022,No
619,IR966584,Johnstown,1009 N 6th Street,Residential,"$722,000","3,409","1,724",6,3,05/25/2022,No
620,IR966578,Windsor,"387 Buffalo Drive Unit# H, Bldg 1",Residential,"$285,000",784,784,2,1,05/24/2022,Yes
621,IR966573,Lafayette,1723 Dusty Boot Drive,Residential,"$1,225,000","4,436","3,316",5,5,05/25/2022,Yes
622,IR966548,Greeley,2112 82nd Avenue,Residential,"$545,000","3,512","1,766",3,3,05/16/2022,Yes
623,IR966545,Loveland,3207 Sheridan Avenue,Residential,"$430,000","2,128","1,064",3,2,05/25/2022,No
624,IR966537,Thornton,12678 Elm Street,Residential,"$394,000",990,990,2,2,05/25/2022,Yes
625,IR966532,Estes Park,1491 David Drive,Residential,"$949,900","1,849","1,849",2,2,05/25/2022,Yes
626,IR966500,Greeley,1909 21st Ave Ct,Residential,"$535,000","3,710","1,855",5,3,05/24/2022,No
627,IR966498,Longmont,209 Homestead Parkway,Residential,"$750,000","4,884","2,442",3,3,05/24/2022,Yes
628,IR966482,Loveland,1919 Dove Creek Circle,Residential,"$389,900","1,533","1,533",3,3,05/24/2022,Yes
629,IR966481,Evans,3320 Corvina Court,Residential,"$375,000","2,721","1,378",2,2,05/24/2022,Yes
630,IR966466,Boulder,955 10th Street,Residential,"$1,850,000","3,179","2,339",4,5,05/24/2022,No
631,IR966448,Nederland,42 Doe Trail,Residential,"$699,000","1,647","1,647",2,2,05/24/2022,No
632,IR966429,Lafayette,1204 Hawk Ridge Road,Residential,"$1,490,000","5,128","3,458",6,5,05/17/2022,Yes
633,IR966421,Greeley,2406 14th Avenue,Residential,"$355,000","1,368",948,3,2,05/24/2022,No
634,IR966376,Longmont,5419 Cannon Mountain Way,Residential,"$1,249,000","5,222","3,507",4,4,05/18/2022,Yes
635,IR966335,Boulder,7170 Cedarwood Circle,Residential,"$1,350,000","3,771","2,782",3,3,05/22/2022,Yes
636,IR966316,Sterling,737 N 7th Avenue,Residential,"$299,900","2,321","2,321",4,3,05/20/2022,No
637,IR966315,Boulder,1140 Portland Place Unit# #308,Residential,"$799,000","1,311","1,311",3,2,05/20/2022,Yes
638,IR966303,Windsor,215 Pelican Cove,Residential,"$575,000","3,037","1,528",3,3,05/20/2022,Yes
639,IR966297,Windsor,8898 Longs Peak Circle,Residential,"$1,195,000","5,688","2,852",6,6,05/21/2022,Yes
640,IR966292,Loveland,3748 Desert Rose Drive,Residential,"$850,000","4,312","2,156",3,2,05/20/2022,Yes
641,IR966272,Loveland,4941 Valley Oak Drive,Residential,"$1,450,000","3,924","2,550",5,4,05/20/2022,Yes
642,IR966258,Superior,3032 W Yarrow Circle,Residential,"$750,000","1,800","1,400",4,3,05/18/2022,Yes
643,IR966184,Boulder,2750 Juilliard Street,Residential,"$1,799,000","1,846","1,846",4,3,05/20/2022,No
644,IR966183,Boulder,409 Mountain View Road,Residential,"$1,850,000","1,073","1,073",1,2,05/20/2022,No
645,4217859,Aurora,590 S Troy Street,Residential,"$535,000","2,410","1,764",3,3,05/26/2022,No
646,8007630,Englewood,4730 S Fox Street,Residential,"$490,000",952,952,3,1,05/26/2022,No
647,8703851,Denver,21376 E 40th Place,Residential,"$475,000","1,294","1,294",2,3,05/26/2022,Yes
648,4063844,Aurora,15010 E Carolina Place,Residential,"$490,000","1,942","1,097",3,3,05/26/2022,No
649,7020970,Aurora,16366 E Fremont Avenue Unit# 10,Residential,"$415,000","1,253","1,253",2,2,05/26/2022,Yes
650,7317291,Denver,1431 Yates Street,Residential,"$779,000","1,850","1,850",3,4,05/26/2022,No
651,5437297,Denver,2220 E Mississippi Avenue Unit# 7,Residential,"$325,000",610,610,1,1,05/26/2022,Yes
652,7090597,Silverthorne,"95500 Ryan Gulch Road Unit# 514, Bldg 5",Residential,"$670,000",871,871,2,2,05/26/2022,Yes
653,4665012,Black Hawk,11 Dill Pickle Place,Residential,"$2,400,000","4,986","4,986",5,4,05/26/2022,Yes
654,8815976,Kiowa, COUNTY ROAD 142,Land,"$310,000",,,,,05/26/2022,No
655,9118278,Aurora,3850 S Olathe Circle,Residential,"$499,900","1,824","1,392",3,2,05/26/2022,Yes
656,3854716,Longmont,805 Summer Hawk Drive Unit# N84,Residential,"$445,000","1,746","1,138",2,2,05/26/2022,Yes
657,5252111,Highlands Ranch,4745 Aberdeen Avenue,Residential,"$595,000","2,343","1,332",4,2,05/26/2022,Yes
658,9012902,Denver,1008 N Corona Street Unit# 308,Residential,"$279,973",545,545,1,1,05/26/2022,Yes
659,9877707,Brighton,5843 E 123rd Drive,Residential,"$495,000","2,450","1,964",4,4,05/26/2022,No
660,9210425,Colorado Springs,2927 Illinois Avenue,Residential,"$415,000","1,484","1,484",3,2,05/26/2022,No
661,5244650,Peyton,9364 Elkmont Court,Residential,"$779,999","3,047","2,105",3,3,05/26/2022,No
662,5049280,Denver,519 N Fox Street,Residential,"$949,000","1,880","1,880",3,4,05/26/2022,No
663,3570383,Lakewood,6700 W 11th Avenue Unit# 108,Residential,"$449,950","1,450","1,450",2,2,05/26/2022,Yes
664,2270174,Monument,301 Buttonwood Place,Residential,"$649,900","2,024","1,584",3,3,05/26/2022,No
665,5988763,Denver,1045 N Pennsylvania Street Unit# 502,Residential,"$270,000",612,612,1,1,05/26/2022,Yes
666,3570388,Arvada,7580 Kline Drive,Residential,"$675,000","3,458","1,729",3,3,05/26/2022,No
667,6036146,Fountain,10858 Hidden Prairie Parkway,Residential,"$590,000","3,206","2,282",4,4,05/26/2022,Yes
668,3872605,Wheat Ridge,7827 W 43rd Place,Residential,"$679,900","1,812","1,812",3,4,05/26/2022,No
669,6256206,Erie,252 Equinox Circle,Residential,"$1,150,000","5,259","3,500",6,6,05/26/2022,Yes
670,2220623,Denver,15844 Robins Drive,Residential,"$465,000","1,412","1,412",3,2,05/26/2022,Yes
671,7809841,Aurora,909 S Dawson Way Unit# 8,Residential,"$190,000",574,574,1,1,05/26/2022,Yes
672,1631631,Buena Vista,660 E Pine Street,Residential,"$865,000","1,658","1,658",2,3,05/26/2022,No
673,7602117,Denver,4000 Milwaukee Street,Land,"$320,000",,,,,05/26/2022,No
674,9225615,Denver,3127 Newton Street,Residential,"$895,000","1,749","1,540",2,2,05/26/2022,No
675,5127120,Denver,3451 N Josephine Street,Residential,"$694,500","2,121","1,592",3,2,05/26/2022,No
676,5839637,Arvada,14414 W 88th Drive Unit# A,Residential,"$625,000","2,046","1,384",2,2,05/26/2022,Yes
677,4765217,Centennial,6446 S Picadilly Street,Residential,"$1,200,000","4,229","2,175",4,4,05/26/2022,Yes
678,4387398,Arvada,6453 Kipling Street,Residential,"$630,000","2,933","1,743",4,3,05/26/2022,No
679,8794358,Lochbuie,118 Zante Street,Residential,"$359,900","1,624","1,624",3,2,05/26/2022,No
680,1688591,Highlands Ranch,10064 Keenan Street,Residential,"$899,000","3,814","2,581",4,4,05/26/2022,Yes
681,2757422,Silverthorne,9082 Ryan Gulch Road Unit# A,Residential,"$1,050,000","1,612","1,612",3,3,05/26/2022,Yes
682,5962105,Denver,200 S Fairfax Street,Residential Lease,"$5,000","4,435","3,487",6,5,05/26/2022,
683,6993685,Aurora,13962 E Princeton Place Unit# C,Residential,"$560,000","2,042","2,042",4,4,05/26/2022,Yes
684,9161130,Parker,10535 Rutledge Street,Residential,"$714,900","2,950","2,000",3,4,05/26/2022,Yes
685,3207103,Broomfield,5174 W 123rd Place,Residential,"$650,000","2,457","1,887",4,4,05/26/2022,No
686,5210803,Brighton,13938 Downing Street,Residential,"$1,285,000","2,165","2,165",4,3,05/26/2022,No
687,4432963,Firestone,12841 River Rock Way,Residential,"$605,000","3,394","2,384",4,3,05/26/2022,Yes
688,5323655,Denver,7865 E Mississippi Avenue Unit# 307,Residential,"$390,000","1,628","1,628",3,2,05/26/2022,Yes
689,5418667,Fairplay,2975 Redhill Road,Land,"$84,900",,,,,05/26/2022,Yes
690,4454338,Castle Rock,1706 Ghost Dance Circle,Residential,"$780,000","3,699","2,509",4,4,05/26/2022,Yes
691,7172717,Denver,19929 Randolph Place,Residential,"$499,950","1,494","1,494",3,3,05/26/2022,No
692,8929684,Denver,19200 E 65th Avenue,Residential,"$435,530","1,420","1,420",3,3,05/26/2022,Yes
693,5877579,Greeley,1730 27th Street,Residential,"$375,000","2,168","1,318",4,2,05/26/2022,No
694,3366027,Denver,1835 W 50th Avenue,Residential,"$569,900",888,888,2,1,05/26/2022,No
695,2822093,Aurora,5713 S Bahama Circle,Residential,"$719,000","3,186","2,413",4,4,05/26/2022,Yes
696,8657874,Federal Heights,10014 Bryant Court,Residential,"$539,900","1,736","1,736",3,3,05/26/2022,No
697,4499397,Denver,5493 Xenia Street,Residential,"$949,000","3,600","2,443",3,3,05/26/2022,Yes
698,5697393,Franktown,9812 Deerfield Road,Residential,"$1,200,000","4,685","3,745",4,4,05/26/2022,Yes
699,2541812,Antonito, River Run & Wild Trout,Land,"$100,000",,,,,05/26/2022,Yes
700,4150872,Colorado Springs,3425 TRENARY Lane Unit# 3425,Residential,"$420,000","2,332","1,166",3,3,05/26/2022,Yes
701,3673918,Lone Tree,10317 Belvedere Lane,Residential,"$600,000","1,623","1,623",2,3,05/26/2022,Yes
702,3155762,Denver,9445 E Evans Way,Residential,"$1,150,000","5,298","2,649",5,5,05/26/2022,Yes
703,3184073,Alma, TBD,Land,"$200,000",,,,,05/26/2022,No
704,9882918,Canon City,1020 Whipple Avenue,Residential,"$230,000","1,054","1,054",2,1,05/26/2022,No
705,3589348,Westminster,4562 W 69th Avenue,Residential,"$716,500","2,020","2,020",3,3,05/26/2022,Yes
706,5146245,Littleton,8370 S Upham Way,Residential,"$460,000","2,018","1,337",2,3,05/26/2022,Yes
707,3544886,Littleton,9863 W Saratoga Place,Residential,"$615,000","2,052","1,524",4,3,05/26/2022,No
708,5393041,Commerce City,5781 E 67th Avenue,Residential,"$450,000","1,483","1,483",4,2,05/26/2022,No
709,9645344,Colorado Springs,961 Columbine Avenue,Residential,"$375,000",987,987,2,1,05/26/2022,No
710,4436186,Golden,504 Creekside Court,Residential,"$899,000","1,788","1,788",3,2,05/26/2022,Yes
711,2198409,Golden, Lupine Street,Land,"$150,000",,,,,05/26/2022,No
712,3432225,Colorado Springs,9857 Wando Drive,Residential,"$485,000","2,544","1,272",4,3,05/26/2022,Yes
713,8053775,Lone Tree,10222 Ridgegate Circle,Residential,"$725,000","2,305","1,842",3,3,05/26/2022,Yes
714,5332513,Highlands Ranch,2973 Windridge Circle,Residential,"$775,000","3,600","2,491",5,4,05/26/2022,Yes
715,3994309,Estes Park,5111 US Highway 36,Residential,"$1,750,000","5,036","3,245",4,3,05/26/2022,No
716,4255511,Loveland,1878 Egnar Street,Residential,"$660,000","3,552","2,426",5,4,05/26/2022,No
717,7007703,Crestone,2037 Lost Cave Way,Land,"$40,000",,,,,05/26/2022,Yes
718,6627679,Thornton,9865 Orangewood Drive,Residential,"$280,000","1,161","1,161",2,2,05/26/2022,Yes
719,3722266,Westcliffe,43 Beech Boulevard,Land,"$40,000",,,,,05/26/2022,Yes
720,4556590,Aurora,15142 E Bates Avenue,Residential,"$360,000","1,632","1,270",2,2,05/26/2022,No
721,5640404,Golden,930 Lupine Street,Residential,"$475,000","1,435","1,100",2,1,05/26/2022,No
722,6414247,Denver,1515 E 9th Avenue Unit# 11,Residential Lease,"$1,525",532,532,1,1,05/26/2022,
723,2179249,Golden,16732 W 48th Lane,Residential,"$2,000,000","5,917","2,969",3,4,05/26/2022,Yes
724,9789806,Evergreen,470 Mesa Drive,Land,"$275,000",,,,,05/26/2022,No
725,5185229,Golden,15401 W 9th Avenue,Commercial Sale,"$1,000,000","5,156",,,,05/26/2022,
726,6056014,Bennett,6920 Highway 79,Residential,"$875,000","3,906","2,148",4,3,05/26/2022,No
727,4089737,Rifle,1073 W 24th Street,Commercial Sale,"$3,075,000","27,115",,,,05/26/2022,
728,1989684,Parker,21563 E Tallkid Avenue,Residential,"$700,000","3,126","2,058",3,3,05/26/2022,Yes
729,7749148,Lakewood,10970 W Florida Avenue Unit# 205,Residential,"$325,000","1,115","1,115",2,2,05/26/2022,Yes
730,5701325,Denver,7301 Montview Boulevard,Residential,"$649,900","2,228","1,607",4,3,05/26/2022,No
731,6104520,Arvada,18140 W 84th Place,Residential Lease,"$3,200","3,332","2,248",3,3,05/26/2022,
732,7277942,Evans,4212 Central Street,Residential,"$345,000","1,390","1,369",3,2,05/26/2022,No
733,9429637,Denver,1866 S Corona Street,Residential Lease,"$2,995","1,314",841,2,1,05/26/2022,
734,2448379,Denver,19037 E 64th Avenue,Residential,"$418,390","1,371","1,371",3,3,05/26/2022,Yes
735,4313968,Littleton,130 Dianna Drive,Residential,"$585,000","2,005","1,514",3,2,05/26/2022,No
736,9801416,Denver,2251 N Hooker Street,Residential,"$1,100,000","2,738","2,438",3,2,05/26/2022,No
737,9107840,Westminster,4830 W 102nd Avenue,Residential,"$675,000","2,446","2,446",4,3,05/26/2022,Yes
738,4537839,Colorado Springs,6139 Rocking Chair Lane Unit# L,Residential,"$545,000","2,788","1,700",3,4,05/26/2022,No
739,8885904,Centennial,18262 E Crestline Circle,Residential,"$615,000","2,272","1,472",3,3,05/26/2022,Yes
740,7030741,Littleton,7828 S Hill Circle,Residential,"$749,900","2,512","2,080",3,3,05/26/2022,Yes
741,6132661,Commerce City,10648 Ursula Way,Residential,"$625,000","3,198","1,700",6,4,05/26/2022,No
742,4442703,Buena Vista,155 Ranch Lane,Residential,"$675,000","1,500","1,500",3,3,05/26/2022,Yes
743,7137502,Fairplay,36 Isabelle Court,Residential,"$1,570,000","4,160","4,160",5,4,05/26/2022,No
744,9443188,Broomfield,11225 Colony Row,Residential,"$549,900","1,393","1,393",2,3,05/26/2022,Yes
745,9934472,Lakewood,6880 W Mississippi Avenue Unit# A,Residential,"$319,500",909,909,2,1,05/26/2022,Yes
